timestamp,min_cpu,max_cpu,avg_cpu
0,9.76,33.16,21.45
300,12.08,35.21,18.81
600,18.96,31.32,25.47
900,6.48,26.54,15.9
1200,6.27,38.95,19.36
1500,15.61,40.77,22.45
1800,9.83,28.89,16.76
2100,19.9,38.55,26.13
2400,17.88,43.38,29.11
2700,11.74,31.2,17.36
3000,5.42,35.35,19.05
3300,7.13,37.58,20.87
3600,15.59,34.39,26.11
3900,7.17,25.69,19.34
4200,18.23,41.49,26.66
4500,11.57,30.01,19.72
4800,5.15,30.37,18.67
5100,8.75,24.1,14.84
5400,9.85,25.58,19.77
5700,5.72,24.77,19.65
6000,15.46,36.17,26.96
6300,5.17,33.74,15.19
6600,9.24,38.14,21.54
6900,18.44,37.81,26.32
7200,17.09,41.9,26.25
7500,7.01,29.66,15.67
7800,16.61,44.35,29.14
8100,10.05,22.81,17.53
8400,12.37,28.5,22.96
8700,8.28,28.4,17.63
9000,12.35,36.64,22.93
9300,10.85,40.54,20.87
9600,16.28,37.78,25.54
9900,5.02,24.49,15.84
10200,6.69,27.15,20.03
10500,17.45,45.65,27.52
10800,17.09,38.36,25.32
11100,9.99,31.98,16.58
11400,8.34,30.34,20.85
11700,12.91,39.64,21.11
12000,13.53,30.35,22.38
12300,7.22,24.17,16.71
12600,14.69,36.59,26.66
12900,18.13,40.91,28.5
13200,16.28,42.71,29.35
13500,5.71,19.15,11.65
13800,14.06,39.62,22.95
14100,9.65,33.46,16.27
14400,7.42,23.92,14.94
14700,5.23,30.86,13.95
15000,8.26,35.12,19.7
15300,12.87,31.52,18.58
15600,9.53,32.16,17.09
15900,6.78,32.4,16.21
16200,6.22,24.33,17.6
16500,19.47,31.44,24.49
16800,6.08,37.83,20.14
17100,17.34,36.05,27.59
17400,15.13,39.89,28.14
17700,18.4,43.73,29.82
18000,11.34,38.69,23.97
18300,19.88,45.49,25.99
18600,11.44,30.86,18.78
18900,13.81,35.61,19.23
19200,19.99,44.54,26.96
19500,5.09,17.62,10.86
19800,12.84,35.05,21.41
20100,13.8,35.46,18.9
20400,7.33,21.89,13.17
20700,11.81,30.82,19.69
21000,8.49,27.91,14.88
21300,8.56,22.77,13.82
21600,9.24,34.86,15.93
21900,7.55,37.56,21.99
22200,18.58,41.43,24.79
22500,18.26,40.09,23.65
22800,18.8,42.32,28.88
23100,5.82,18.05,12.39
23400,19.87,37.04,26.92
23700,8.23,27.48,13.45
24000,6.0,25.63,14.37
24300,13.05,42.24,23.71
24600,6.39,28.91,19.36
24900,18.88,42.92,27.14
25200,19.05,48.63,30.44
25500,6.45,32.6,15.85
25800,7.08,24.61,12.68
26100,13.09,32.27,25.91
26400,14.36,30.89,20.36
26700,18.5,47.25,31.29
27000,12.8,41.21,23.21
27300,9.95,38.97,23.38
27600,8.67,34.21,15.92
27900,12.87,39.96,21.7
28200,6.74,33.32,14.88
28500,17.55,44.0,26.63
28800,17.37,39.46,23.59
29100,16.22,44.85,27.96
29400,8.16,22.77,16.5
29700,11.64,30.22,21.29
30000,15.36,43.48,26.85
30300,9.71,30.55,19.64
30600,12.9,32.31,19.0
30900,18.15,32.13,24.82
31200,14.19,36.28,26.6
31500,9.83,33.84,17.21
31800,7.86,23.72,14.95
32100,14.42,35.01,24.69
32400,8.18,33.67,18.1
32700,17.76,40.41,25.63
33000,11.36,36.99,26.05
33300,13.13,33.78,26.56
33600,7.47,35.12,16.54
33900,14.92,36.04,28.75
34200,6.53,32.19,14.67
34500,8.96,37.87,18.71
34800,14.07,40.69,24.13
35100,19.35,39.61,31.86
35400,10.63,30.5,21.12
35700,11.47,35.51,17.99
36000,10.38,27.0,21.42
36300,14.49,42.41,23.43
36600,15.75,40.57,27.07
36900,14.15,36.44,20.39
37200,19.7,34.58,26.26
37500,10.51,34.42,18.33
37800,10.37,32.34,15.59
38100,5.39,39.69,20.19
38400,8.43,30.31,22.79
38700,19.88,34.29,25.91
39000,19.49,33.43,26.22
39300,9.86,33.46,16.21
39600,15.22,35.45,28.66
39900,12.94,38.11,25.83
40200,19.24,42.4,27.88
40500,17.21,40.23,29.65
40800,19.55,42.14,30.47
41100,11.55,36.89,23.22
41400,9.39,38.3,20.62
41700,13.42,35.52,25.97
42000,14.5,39.32,24.27
42300,9.11,35.39,16.76
42600,12.56,35.72,25.69
42900,13.34,27.93,21.24
43200,7.74,28.93,15.69
43500,18.56,40.53,29.83
43800,15.81,37.07,25.93
44100,8.97,37.47,21.96
44400,8.76,26.81,16.89
44700,5.56,22.94,17.83
45000,17.28,34.84,24.43
45300,9.1,25.78,15.46
45600,11.33,42.53,23.96
45900,13.21,34.75,25.44
46200,15.74,45.04,29.41
46500,13.4,42.56,23.25
46800,16.56,38.57,31.19
47100,14.29,43.69,24.15
47400,5.06,26.28,18.25
47700,9.64,32.17,22.79
48000,13.19,29.61,24.05
48300,7.8,28.9,16.94
48600,7.96,35.7,19.32
48900,10.52,34.22,17.91
49200,9.94,34.96,15.26
49500,8.14,21.54,15.09
49800,8.97,40.19,21.92
50100,18.1,45.7,33.01
50400,14.22,26.27,20.89
50700,7.31,33.4,20.32
51000,8.44,32.06,14.88
51300,14.45,36.29,26.95
51600,14.21,44.21,26.98
51900,9.23,33.76,15.99
52200,12.38,39.19,21.26
52500,8.11,31.22,20.14
52800,11.75,34.07,22.17
53100,19.58,41.82,27.45
53400,8.59,22.51,14.82
53700,14.24,45.63,28.8
54000,12.73,34.41,22.31
54300,11.59,33.47,19.25
54600,9.93,36.53,16.79
54900,10.67,38.64,22.83
55200,12.11,28.2,19.14
55500,10.48,32.13,23.55
55800,10.17,40.65,24.59
56100,8.07,33.53,20.85
56400,11.54,39.88,21.99
56700,17.29,35.27,29.16
57000,9.9,34.79,16.6
57300,9.16,30.06,23.09
57600,9.64,34.93,21.23
57900,12.65,29.82,23.6
58200,19.4,36.38,31.06
58500,5.44,28.46,13.35
58800,14.42,37.18,25.34
59100,5.02,23.06,10.76
59400,7.49,29.81,18.23
59700,14.75,32.17,20.62
60000,5.91,26.85,12.8
60300,5.47,32.82,14.83
60600,12.23,36.78,24.18
60900,9.95,35.89,16.73
61200,11.49,32.09,23.32
61500,7.75,23.27,13.94
61800,12.41,27.93,17.48
62100,8.08,36.21,16.82
62400,5.3,32.57,17.94
62700,9.55,27.8,18.37
63000,12.0,33.83,20.69
63300,15.51,28.73,22.46
63600,17.71,39.84,23.64
63900,12.29,31.16,19.21
64200,18.59,41.43,28.52
64500,8.47,36.52,18.61
64800,17.24,40.13,32.05
65100,7.97,30.94,16.19
65400,10.33,27.16,15.4
65700,12.29,35.82,24.28
66000,5.63,24.43,14.61
66300,19.08,49.76,30.03
66600,18.74,35.77,29.07
66900,5.23,19.33,11.19
67200,16.46,36.27,27.56
67500,5.02,25.35,16.26
67800,18.61,41.16,26.44
68100,9.34,24.36,18.64
68400,13.12,26.51,18.83
68700,14.16,29.09,21.72
69000,8.72,23.59,15.09
69300,12.98,42.6,24.86
69600,7.33,29.35,12.71
69900,11.28,32.62,26.24
70200,13.19,32.37,24.01
70500,8.7,25.0,16.14
70800,15.36,40.06,29.31
71100,5.87,31.02,14.83
71400,18.06,41.56,26.12
71700,16.75,31.08,25.92
72000,7.09,35.23,16.85
72300,9.38,27.43,15.63
72600,15.12,36.17,28.32
72900,11.18,32.48,22.74
73200,11.76,28.02,22.8
73500,7.01,23.03,17.6
73800,5.36,19.05,10.79
74100,14.58,44.29,27.78
74400,12.69,33.36,23.2
74700,12.31,28.27,19.5
75000,17.35,34.45,28.83
75300,19.25,48.11,29.72
75600,15.87,33.52,21.03
75900,16.93,36.45,31.26
76200,8.85,28.39,19.98
76500,5.85,33.11,16.96
76800,8.55,38.66,22.72
77100,16.23,33.73,26.08
77400,10.5,26.51,17.9
77700,17.48,46.97,30.53
78000,7.09,36.21,21.02
78300,14.63,40.47,23.74
78600,14.77,42.87,26.34
78900,8.53,35.16,17.05
79200,10.48,35.23,25.18
79500,15.83,31.73,23.93
79800,10.79,33.42,24.57
80100,8.77,35.97,18.91
80400,5.48,28.85,10.59
80700,16.57,49.48,31.35
81000,18.81,42.16,28.89
81300,11.37,38.79,23.36
81600,13.38,36.43,26.04
81900,8.41,39.87,21.1
82200,8.31,26.87,17.52
82500,6.27,31.51,12.73
82800,5.31,21.45,16.09
83100,17.5,36.9,26.98
83400,8.99,24.8,17.33
83700,17.08,38.25,29.71
84000,11.23,35.29,18.26
84300,6.9,26.85,14.0
84600,12.91,36.06,19.01
84900,15.85,39.99,25.34
85200,5.72,26.79,19.62
85500,19.24,34.84,26.74
85800,6.57,18.63,11.58
86100,8.35,26.73,15.12
86400,7.23,30.27,16.1
86700,8.73,36.74,21.71
87000,19.4,35.97,27.22
87300,12.49,40.74,22.84
87600,17.05,28.98,23.04
87900,9.95,36.03,19.57
88200,15.24,44.57,28.74
88500,8.43,27.48,17.53
88800,11.68,37.47,25.19
89100,15.51,30.27,20.78
89400,17.71,38.99,31.39
89700,18.93,40.1,29.36
90000,5.0,26.07,13.84
90300,16.36,34.02,28.36
90600,9.14,29.54,15.9
90900,15.98,41.39,27.13
91200,13.38,33.78,18.92
91500,7.12,27.07,16.75
91800,7.59,28.76,21.88
92100,18.51,39.18,27.01
92400,19.48,44.98,31.36
92700,9.72,27.92,19.4
93000,16.31,38.64,25.62
93300,17.97,35.25,25.35
93600,8.62,32.77,18.71
93900,17.99,40.2,24.97
94200,11.98,29.26,18.33
94500,17.71,29.87,23.91
94800,7.0,24.62,16.26
95100,7.05,26.86,18.78
95400,12.42,42.13,27.39
95700,9.66,24.73,16.96
96000,6.02,26.01,16.72
96300,15.06,39.5,25.6
96600,8.28,22.37,14.73
96900,11.31,32.66,21.7
97200,13.24,34.2,20.85
97500,12.54,39.16,22.7
97800,8.25,32.39,18.68
98100,8.56,41.91,22.28
98400,5.76,33.08,18.06
98700,14.82,41.5,24.15
99000,15.78,46.31,30.16
99300,15.03,42.5,27.27
99600,11.51,32.23,17.57
99900,16.12,48.78,29.51
100200,9.87,30.83,16.04
100500,7.55,27.26,19.57
100800,16.73,35.56,23.76
101100,8.34,36.16,18.01
101400,17.84,50.23,31.64
101700,14.22,31.23,23.94
102000,19.28,38.44,29.69
102300,6.65,29.57,17.32
102600,7.34,38.77,21.43
102900,12.53,32.38,18.19
103200,10.29,34.06,18.02
103500,5.18,23.87,14.3
103800,10.71,37.09,24.12
104100,16.73,41.65,23.24
104400,19.63,51.0,32.7
104700,7.02,32.37,14.75
105000,12.56,35.56,25.03
105300,13.8,43.04,28.03
105600,17.01,44.42,27.16
105900,9.06,33.37,22.12
106200,12.47,34.25,26.92
106500,6.91,34.99,20.67
106800,9.65,39.49,20.85
107100,18.16,40.08,23.51
107400,7.65,31.95,17.15
107700,5.09,38.2,18.72
108000,8.01,21.49,15.33
108300,14.85,38.22,22.75
108600,10.79,37.05,24.75
108900,9.49,27.33,16.59
109200,16.78,34.88,27.81
109500,6.22,32.39,13.08
109800,10.98,31.1,19.59
110100,14.5,44.62,26.28
110400,15.61,37.99,29.96
110700,15.59,31.3,20.93
111000,16.55,41.17,25.51
111300,19.99,46.86,34.24
111600,6.02,29.93,18.77
111900,16.88,42.92,27.75
112200,19.19,44.39,31.12
112500,7.18,36.83,17.44
112800,6.88,22.08,12.37
