timestamp,min_cpu,max_cpu,avg_cpu
1751384748,36.39,53.21,44.94
1751385349,37.32,47.94,42.9
1751385949,40.36,57.49,46.36
1751386549,30.09,54.14,41.25
1751387149,29.61,53.85,41.48
1751387749,36.25,55.16,41.63
1751388349,27.95,48.43,39.22
1751388949,27.49,51.91,33.38
1751389550,29.78,50.57,39.36
1751390150,34.8,50.3,42.22
1751390750,34.96,61.89,43.7
1751391350,25.58,47.24,33.18
1751391950,33.51,46.83,40.88
1751392550,27.89,53.3,39.49
1751393150,22.69,51.47,35.33
1751393751,29.2,49.97,37.61
1751394351,20.63,46.0,35.25
1751394951,31.7,55.78,40.76
1751395551,19.58,38.29,32.61
1751396151,24.12,48.25,36.38
1751396751,19.95,42.22,30.86
1751397351,22.37,44.47,34.26
1751397951,24.66,56.33,38.1
1751398552,22.52,42.21,34.03
1751399152,24.03,41.71,34.02
1751399752,19.19,38.51,24.84
1751400352,18.41,39.27,29.24
1751400952,17.39,48.04,30.67
1751401552,21.54,45.65,31.08
1751402152,20.54,41.37,30.97
1751402753,20.52,35.19,26.76
1751403353,15.46,41.71,27.84
1751403953,21.08,45.77,33.58
1751404553,21.7,48.0,28.66
1751405153,16.37,34.16,24.67
1751405753,15.2,46.4,26.92
1751406353,21.01,38.01,27.94
1751406954,14.05,29.7,19.69
1751407554,14.76,45.21,27.88
1751408154,9.15,38.61,21.3
1751408754,10.77,37.53,24.22
1751409354,11.34,28.12,19.0
1751409954,12.93,35.44,25.3
1751410554,18.62,39.42,26.28
1751411155,11.33,37.68,25.86
1751411755,12.22,41.24,22.92
1751412355,13.5,41.91,25.6
1751412955,23.9,44.3,31.69
1751413555,9.98,31.28,23.66
1751414155,16.02,39.82,23.35
1751414755,22.93,38.56,32.24
1751415356,22.54,43.06,29.82
1751415956,21.01,40.46,28.52
1751416556,28.13,39.74,34.4
1751417156,20.6,40.98,26.34
1751417756,20.06,49.38,32.01
1751418356,23.77,42.67,32.43
1751418956,13.99,48.12,28.27
1751419556,23.5,42.96,32.9
1751420157,31.42,55.35,36.7
1751420757,23.42,43.47,34.07
1751421357,23.81,42.42,33.42
1751421957,23.4,47.67,28.64
1751422557,17.4,42.55,31.53
1751423157,21.3,41.66,29.79
1751423757,27.08,50.25,34.24
1751424358,32.22,57.21,41.13
1751424958,18.98,37.28,32.07
1751425558,16.8,42.75,31.45
1751426158,31.01,55.69,38.01
1751426758,25.78,53.59,34.4
1751427358,26.13,46.08,34.62
1751427958,20.14,46.47,31.98
1751428559,26.93,57.04,37.59
1751429159,28.24,52.87,37.82
1751429759,28.82,54.67,36.73
1751430359,28.48,51.18,38.53
1751430959,29.97,49.65,39.96
1751431559,27.39,54.96,39.58
1751432159,32.03,60.4,41.72
1751432760,31.32,46.12,37.38
1751433360,25.1,46.5,38.67
1751433960,32.07,58.03,40.9
1751434560,28.26,51.39,41.4
1751435160,32.73,58.22,43.29
1751435760,38.66,52.83,43.99
1751436360,24.95,55.09,39.66
1751436961,32.33,65.31,46.47
1751437561,34.41,48.21,40.76
1751438161,32.28,52.91,42.69
1751438761,37.8,61.75,49.25
1751439361,38.2,70.33,53.1
1751439961,35.37,67.97,48.98
1751440561,41.26,56.84,46.91
1751441161,37.37,56.26,49.71
1751441762,43.37,66.55,49.58
1751442362,42.96,67.45,47.99
1751442962,41.23,59.37,46.39
1751443562,45.84,65.55,53.65
1751444162,39.4,59.1,52.24
1751444762,38.85,59.04,52.31
1751445362,41.15,66.94,52.03
1751445963,33.65,67.43,48.6
1751446563,45.08,71.1,52.03
1751447163,39.36,59.02,47.38
1751447763,40.55,66.16,48.99
1751448363,38.88,69.57,50.68
1751448963,44.33,73.63,55.4
1751449563,46.13,73.49,57.59
1751450164,47.72,77.79,58.55
1751450764,46.64,64.13,56.26
1751451364,48.62,66.2,54.86
1751451964,47.1,70.78,52.8
1751452564,37.99,63.59,51.17
1751453164,47.28,66.0,56.38
1751453764,45.77,78.39,60.07
1751454365,37.51,64.7,48.67
1751454965,46.25,63.97,58.87
1751455565,46.31,63.97,57.72
1751456165,42.12,71.31,54.21
1751456765,47.84,70.38,58.45
1751457365,52.04,74.5,59.31
1751457965,39.67,58.26,52.03
1751458566,39.83,60.48,53.95
1751459166,45.95,72.1,54.63
1751459766,51.6,67.65,56.67
1751460366,42.33,70.98,51.99
1751460966,48.18,62.83,56.28
1751461566,46.56,62.69,56.62
1751462166,39.84,63.28,51.06
1751462766,44.15,64.57,53.36
1751463367,33.63,53.43,48.35
1751463967,46.7,65.63,54.08
1751464567,41.88,65.0,50.02
1751465167,36.46,63.1,49.28
1751465767,49.47,73.77,57.71
1751466367,46.39,64.24,53.12
1751466967,44.12,66.92,53.38
1751467568,38.02,59.45,49.72
1751468168,38.96,68.34,51.89
1751468768,41.96,65.55,48.83
1751469368,39.57,67.56,52.99
1751469968,38.5,59.93,48.83
1751470568,33.48,61.04,44.98
1751471168,42.44,70.95,52.84
1751471769,46.39,59.38,53.35
1751472369,36.49,65.46,51.36
1751472969,33.45,49.74,44.14
1751473569,37.9,57.65,49.6
1751474169,37.59,65.52,46.38
1751474769,39.0,65.13,47.15
1751475369,38.9,60.29,46.41
1751475970,41.09,51.5,46.25
1751476570,32.4,57.59,43.24
1751477170,39.32,61.11,51.58
1751477770,32.84,52.45,45.46
1751478370,38.5,52.68,45.84
1751478970,32.01,51.59,42.92
1751479570,37.26,59.13,42.88
1751480171,34.2,50.43,42.97
1751480771,38.99,61.07,44.66
1751481371,33.77,53.32,43.14
1751481971,33.74,53.55,41.02
1751482571,32.7,57.71,40.96
1751483171,34.85,61.91,48.54
1751483771,34.68,55.76,41.1
1751484371,30.39,51.78,36.53
1751484972,27.42,54.52,39.97
1751485572,26.74,58.19,39.48
1751486172,23.9,56.75,37.6
1751486772,22.22,42.62,37.03
1751487372,24.12,48.83,31.73
1751487972,30.23,53.97,40.52
1751488572,25.23,41.26,35.59
1751489173,19.8,49.76,32.13
