timestamp,avg_min_cpu,avg_max_cpu,avg_avg_cpu
1751385129,35.67,63.2,43.29
1751385729,40.82,65.89,45.98
1751386329,27.59,59.5,42.39
1751386929,32.89,57.78,39.62
1751387529,38.8,59.15,44.75
1751388130,28.51,48.89,40.25
1751388730,33.8,56.81,40.64
1751389330,24.69,52.52,39.43
1751389930,33.95,53.26,40.97
1751390530,24.35,57.11,37.26
1751391130,29.95,47.68,40.71
1751391730,23.32,45.81,36.53
1751392331,26.19,55.24,37.34
1751392931,27.05,40.93,34.5
1751393531,28.12,51.64,35.68
1751394131,22.43,42.5,35.35
1751394731,22.4,42.81,37.08
1751395331,15.66,36.09,30.46
1751395931,29.88,53.84,35.15
1751396532,20.79,53.06,33.13
1751397132,26.32,38.36,33.22
1751397732,26.62,40.02,33.3
1751398332,16.07,49.67,30.36
1751398932,16.95,44.67,31.38
1751399532,24.51,44.38,30.49
1751400132,20.53,50.85,31.07
1751400733,20.61,43.69,32.09
1751401333,25.89,49.88,31.18
1751401933,23.62,35.14,28.88
1751402533,16.53,36.86,26.57
1751403133,11.65,32.76,22.16
1751403733,15.84,45.11,29.25
1751404333,22.07,37.83,28.39
1751404934,19.16,44.61,28.08
1751405534,16.41,35.25,27.31
1751406134,19.21,46.33,29.0
1751406734,14.03,34.69,26.57
1751407334,18.11,36.06,24.06
1751407934,14.31,29.38,23.37
1751408534,14.83,44.12,25.82
1751409134,11.04,28.52,21.56
1751409735,16.03,37.38,23.82
1751410335,17.47,40.67,23.89
1751410935,15.42,31.12,25.22
1751411535,12.04,39.54,24.74
1751412135,15.15,44.62,26.08
1751412735,14.41,34.84,25.49
1751413335,21.65,37.04,27.06
1751413936,11.44,38.88,19.8
1751414536,17.66,50.38,30.99
1751415136,17.0,34.25,27.53
1751415736,18.63,43.9,28.94
1751416336,23.28,35.22,29.76
1751416936,22.95,49.06,31.08
1751417536,16.63,40.56,31.3
1751418137,18.1,43.36,26.86
1751418737,22.91,45.06,34.1
1751419337,25.33,41.27,31.87
1751419937,22.96,36.98,31.49
1751420537,24.8,47.2,31.76
1751421137,15.95,35.29,29.95
1751421737,20.92,47.93,34.42
1751422338,25.42,47.85,33.28
1751422938,27.01,43.94,35.2
1751423538,22.17,48.52,31.32
1751424138,18.38,47.96,32.1
1751424738,31.62,44.59,36.74
1751425338,29.54,47.26,37.78
1751425938,26.51,40.81,34.2
1751426539,29.0,49.43,35.59
1751427139,24.89,50.67,34.2
1751427739,30.02,42.75,37.23
1751428339,26.45,50.51,37.86
1751428939,22.48,48.4,35.37
1751429539,23.53,42.85,37.45
1751430139,26.19,48.74,36.7
1751430739,23.15,52.5,37.06
1751431340,25.67,54.1,38.48
1751431940,25.64,53.22,40.54
1751432540,25.69,55.21,38.48
1751433140,31.67,47.45,40.67
1751433740,39.45,62.16,45.51
1751434340,27.52,46.75,36.91
1751434940,31.56,56.73,39.15
1751435541,30.85,49.66,40.5
1751436141,29.58,49.58,40.56
1751436741,29.0,60.23,41.33
1751437341,39.35,52.94,45.32
1751437941,36.42,59.86,46.7
1751438541,31.49,54.73,45.57
1751439141,35.1,48.45,42.62
1751439742,39.3,61.63,46.34
1751440342,34.31,57.51,49.05
1751440942,40.69,61.5,48.68
1751441542,42.4,69.43,51.37
1751442142,37.94,64.87,47.23
1751442742,33.41,64.45,47.8
1751443342,34.55,62.4,48.97
1751443943,35.03,58.66,46.31
1751444543,43.87,68.56,49.35
1751445143,37.75,66.46,49.71
1751445743,42.43,66.86,52.12
1751446343,46.73,58.76,53.49
1751446943,39.02,69.59,52.2
1751447543,39.25,58.16,51.16
1751448144,37.77,58.46,50.07
1751448744,41.33,64.23,52.95
