timestamp,min_cpu,max_cpu,avg_cpu
1751385569,38.36,58.68,44.75
1751386169,33.1,49.81,39.67
1751386769,33.81,59.86,42.0
1751387369,25.14,57.73,39.51
1751387969,26.83,58.31,41.53
1751388569,29.82,51.77,40.42
1751389169,29.39,62.03,43.32
1751389769,25.42,44.49,39.01
1751390370,28.29,60.21,41.39
1751390970,22.66,48.38,35.07
1751391570,24.67,47.52,35.46
1751392170,28.49,54.1,39.47
1751392770,25.08,44.04,37.52
1751393370,21.38,41.93,34.97
1751393970,26.11,51.02,35.98
1751394571,27.26,50.49,36.13
1751395171,25.76,44.11,34.05
1751395771,25.14,43.48,32.0
1751396371,22.07,38.21,31.33
1751396971,22.19,47.78,35.07
1751397571,22.17,44.88,33.44
1751398171,26.69,46.91,31.84
1751398772,26.05,41.32,33.58
1751399372,17.84,38.28,32.0
1751399972,18.47,40.5,26.64
1751400572,21.95,45.97,29.85
1751401172,16.26,41.11,28.52
1751401772,23.53,42.44,29.13
1751402372,15.83,36.73,28.15
1751402973,13.68,36.88,26.74
1751403573,13.97,34.61,23.76
1751404173,24.49,36.34,29.55
1751404773,20.05,32.74,27.24
1751405373,20.94,47.77,28.75
1751405973,12.45,35.65,26.91
1751406573,19.22,36.54,25.47
1751407174,19.86,43.67,26.76
1751407774,20.25,33.17,26.75
1751408374,14.68,34.91,22.11
1751408974,16.71,31.13,24.27
1751409574,12.38,41.56,24.13
1751410174,16.65,31.58,26.41
1751410774,14.54,39.52,23.7
1751411374,20.63,33.4,26.33
1751411975,19.87,37.6,25.49
1751412575,17.41,40.31,23.74
1751413175,11.01,42.04,24.98
1751413775,18.53,38.87,24.08
1751414375,14.88,42.32,27.34
1751414975,24.75,39.72,32.2
1751415575,15.4,37.64,29.6
1751416176,18.81,44.58,32.76
1751416776,18.54,36.91,28.81
1751417376,25.37,45.56,33.84
1751417976,18.57,44.28,31.94
1751418576,23.94,55.03,35.17
1751419176,17.5,47.8,28.55
1751419776,21.95,39.35,32.55
1751420377,23.73,49.85,29.98
1751420977,20.0,40.3,31.27
1751421577,26.05,45.86,32.91
1751422177,18.02,39.47,30.75
1751422777,18.04,37.83,31.41
1751423377,20.88,43.55,35.44
1751423977,24.75,54.25,34.88
1751424578,18.71,39.17,31.7
1751425178,18.45,42.96,33.2
1751425778,24.6,38.89,33.66
1751426378,21.13,41.0,34.95
1751426978,25.75,51.36,36.55
1751427578,22.66,42.24,34.17
1751428178,24.68,44.97,34.71
1751428779,23.98,44.56,35.16
1751429379,19.95,42.96,33.13
1751429979,27.97,44.67,34.89
1751430579,28.61,54.18,39.26
1751431179,29.15,57.5,38.67
1751431779,35.75,46.17,40.97
1751432379,27.7,46.45,40.2
1751432979,28.32,55.04,38.33
1751433580,29.7,51.23,38.93
1751434180,31.26,59.04,42.75
1751434780,34.38,47.24,40.87
1751435380,34.54,53.89,45.97
1751435980,34.4,59.26,43.61
1751436580,31.15,52.05,44.76
1751437180,40.12,55.38,45.16
1751437781,33.19,56.53,45.43
1751438381,34.15,58.27,44.97
1751438981,39.1,57.01,45.13
1751439581,39.52,54.93,47.61
1751440181,37.33,57.91,47.46
1751440781,34.65,64.32,45.75
1751441381,31.73,64.39,45.39
1751441982,36.36,63.8,48.16
1751442582,37.5,58.79,47.29
1751443182,39.03,60.52,49.54
1751443782,41.08,64.05,51.88
1751444382,41.16,64.07,48.94
1751444982,39.34,64.2,50.51
1751445582,39.97,72.23,53.31
1751446183,37.74,63.5,48.57
1751446783,39.72,58.06,51.28
1751447383,41.98,72.15,52.69
1751447983,45.93,67.65,53.2
1751448583,41.51,68.07,52.55
1751449183,45.14,64.95,53.96
1751449783,42.03,73.36,55.53
1751450384,47.99,61.67,55.49
1751450984,38.84,61.29,52.24
1751451584,45.7,68.26,52.19
1751452184,44.41,70.15,56.28
1751452784,45.75,71.47,55.59
1751453384,44.52,67.99,54.24
1751453984,47.67,76.08,56.65
1751454584,49.73,62.02,56.44
1751455185,41.64,66.18,55.01
1751455785,46.15,75.97,56.22
1751456385,44.97,71.43,55.82
1751456985,50.75,63.72,57.54
1751457585,49.1,73.37,56.33
1751458185,43.58,72.03,53.3
1751458785,42.7,74.03,55.89
1751459386,46.53,70.4,57.85
1751459986,47.32,67.19,55.11
1751460586,46.51,67.89,55.59
1751461186,46.43,67.49,52.03
1751461786,45.17,66.68,55.12
1751462386,48.33,68.3,54.45
1751462986,39.0,63.57,53.97
1751463587,41.44,68.96,53.99
1751464187,49.11,69.19,55.91
1751464787,39.17,65.22,51.72
1751465387,41.9,61.62,56.32
1751465987,35.75,56.06,49.89
1751466587,40.05,59.1,51.18
1751467187,37.05,56.81,49.91
1751467788,39.53,56.59,51.37
1751468388,46.52,70.19,52.5
1751468988,42.52,68.21,54.2
1751469588,44.45,64.7,52.88
1751470188,44.06,69.1,50.67
1751470788,46.99,63.7,56.76
1751471388,45.6,63.36,51.39
1751471989,39.36,57.74,46.3
1751472589,37.29,65.04,47.0
1751473189,38.26,50.11,44.43
1751473789,38.4,55.98,47.95
1751474389,37.47,64.5,46.6
1751474989,35.2,60.42,49.66
1751475589,29.87,49.51,44.29
1751476189,37.58,57.98,48.45
1751476790,42.64,57.71,48.78
1751477390,32.77,62.96,43.35
1751477990,29.36,56.48,43.37
1751478590,35.13,57.92,45.13
1751479190,35.61,60.85,43.7
1751479790,25.74,48.28,40.59
1751480390,36.64,49.8,44.2
1751480991,38.14,59.07,43.39
1751481591,35.04,53.71,41.79
1751482191,29.36,47.01,41.21
1751482791,34.65,48.21,40.39
1751483391,37.39,50.82,42.57
1751483991,29.87,52.73,41.41
1751484591,31.38,57.95,38.85
1751485192,32.91,49.47,44.03
1751485792,24.23,51.62,37.73
1751486392,24.24,46.97,37.08
1751486992,25.33,39.32,34.02
1751487592,26.56,45.05,33.81
1751488192,24.92,44.89,33.94
1751488792,22.68,45.1,34.85
1751489393,29.01,43.94,34.25
1751489993,21.19,40.95,32.26
1751490593,32.6,52.24,38.06
1751491193,29.4,40.1,34.73
1751491793,24.0,46.8,31.84
1751492393,21.64,45.24,31.15
1751492993,15.92,36.78,30.41
1751493594,19.61,45.68,32.38
1751494194,23.85,42.54,34.08
1751494794,23.9,42.1,32.73
1751495394,24.15,47.46,31.07
1751495994,22.02,43.7,28.09
1751496594,21.52,50.08,36.49
1751497194,21.98,40.22,30.28
1751497794,25.67,47.15,34.35
1751498395,14.26,39.65,27.19
1751498995,19.88,47.32,28.92
1751499595,25.01,46.98,30.26
1751500195,16.02,46.68,29.34
1751500795,20.29,34.2,26.92
1751501395,30.85,54.89,38.11
1751501995,23.52,49.82,31.82
1751502596,24.58,48.63,37.5
1751503196,20.41,40.08,34.75
1751503796,21.89,51.07,34.31
1751504396,24.68,46.19,38.49
1751504996,23.48,41.04,32.66
1751505596,26.64,45.97,32.09
1751506196,21.66,47.19,36.43
1751506797,27.12,38.01,32.22
1751507397,22.85,40.7,35.36
1751507997,30.58,41.89,35.95
1751508597,21.47,43.0,35.87
1751509197,27.58,54.64,40.35
1751509797,19.27,49.33,32.17
1751510397,29.31,48.97,38.27
1751510998,29.61,45.3,39.08
1751511598,24.52,45.74,37.87
1751512198,28.56,51.99,36.9
1751512798,29.29,50.62,36.54
1751513398,24.66,56.28,39.33
1751513998,24.87,55.11,38.83
1751514598,34.15,57.07,40.09
1751515199,29.58,48.77,42.3
1751515799,31.39,48.92,40.74
1751516399,32.17,47.82,41.61
1751516999,32.01,51.74,45.31
1751517599,26.55,48.3,41.11
1751518199,33.89,54.88,40.4
1751518799,28.19,57.35,40.8
1751519399,35.84,60.99,44.2
1751520000,30.38,56.33,42.26
1751520600,38.48,59.1,45.72
1751521200,39.91,64.17,46.33
1751521800,33.96,53.54,45.33
1751522400,36.93,50.62,43.88
1751523000,43.0,66.63,50.6
1751523600,30.06,55.45,44.91
1751524201,31.75,60.4,46.2
1751524801,40.7,60.83,48.34
1751525401,47.14,68.58,53.25
1751526001,34.92,57.46,45.05
1751526601,37.79,65.83,48.41
1751527201,35.94,58.22,49.08
1751527801,38.66,62.9,51.46
1751528402,44.96,67.52,52.51
1751529002,37.68,69.5,51.9
1751529602,43.12,61.08,53.22
1751530202,43.81,64.25,52.61
1751530802,42.83,56.85,50.45
1751531402,38.09,61.53,52.47
1751532002,48.86,65.81,58.55
1751532603,49.36,75.64,55.97
1751533203,47.84,73.47,59.8
1751533803,44.82,67.61,59.5
1751534403,39.94,65.77,52.17
1751535003,45.82,74.04,56.73
1751535603,51.32,66.58,59.84
1751536203,46.18,75.59,57.5
1751536804,36.64,57.81,50.9
1751537404,40.58,65.42,55.29
1751538004,49.12,69.12,56.81
1751538604,46.07,70.27,57.85
1751539204,52.16,68.46,58.63
1751539804,41.24,68.07,55.58
1751540404,44.17,66.24,57.33
1751541004,46.32,69.86,60.54
1751541605,49.97,71.62,61.27
1751542205,47.25,72.76,56.17
1751542805,45.74,69.22,58.82
1751543405,49.34,74.33,60.52
1751544005,52.05,72.93,59.77
1751544605,46.75,79.51,60.13
1751545205,48.24,66.31,60.59
1751545806,52.35,63.66,57.47
1751546406,48.0,72.77,58.87
1751547006,46.34,74.01,55.3
1751547606,42.42,67.3,56.46
1751548206,42.21,66.75,56.66
1751548806,49.48,67.09,58.67
1751549406,54.01,66.79,61.27
1751550007,47.88,69.61,60.52
1751550607,52.56,64.4,57.81
1751551207,46.8,58.85,53.32
1751551807,45.05,66.5,54.68
1751552407,49.7,68.66,55.74
1751553007,45.71,61.63,55.03
1751553607,47.38,70.38,55.05
1751554208,47.52,66.25,55.92
1751554808,48.38,69.02,57.49
1751555408,47.0,68.55,54.07
1751556008,42.3,58.19,53.17
1751556608,41.26,55.57,50.51
1751557208,44.9,60.64,52.04
1751557808,40.18,64.99,51.22
1751558409,43.21,63.93,55.29
1751559009,43.32,62.82,51.78
1751559609,45.36,71.81,54.15
1751560209,42.06,70.74,51.06
1751560809,42.65,63.01,51.02
1751561409,33.42,52.84,45.31
1751562009,42.15,54.17,48.92
1751562609,41.92,57.7,49.4
1751563210,36.44,52.02,44.78
1751563810,41.34,54.67,48.14
1751564410,41.17,62.05,47.9
1751565010,40.88,59.57,50.05
1751565610,35.24,57.73,46.03
1751566210,33.26,51.28,44.57
1751566810,34.27,60.89,44.57
1751567411,35.62,57.18,44.63
1751568011,35.78,55.98,43.27
1751568611,34.48,56.13,44.46
1751569211,33.61,51.8,45.97
1751569811,29.46,59.05,42.85
1751570411,32.34,48.04,41.84
1751571011,34.91,53.36,41.38
1751571612,28.58,51.16,39.77
1751572212,33.83,49.44,42.53
1751572812,34.98,46.11,40.66
1751573412,35.47,57.23,40.88
1751574012,29.82,49.84,36.27
1751574612,33.14,57.49,38.35
1751575212,25.3,50.47,39.02
1751575813,25.22,41.88,34.97
1751576413,30.8,45.88,40.18
1751577013,27.93,52.47,35.91
1751577613,26.42,42.73,35.58
1751578213,21.17,49.08,34.99
1751578813,31.19,46.23,41.17
1751579413,33.72,57.7,39.09
1751580014,21.13,39.74,32.16
1751580614,25.12,44.81,36.58
1751581214,28.26,54.85,35.98
1751581814,20.47,40.67,35.04
1751582414,21.16,43.75,32.37
1751583014,22.36,41.97,36.11
1751583614,26.05,50.14,31.54
1751584214,21.99,47.05,34.71
1751584815,22.36,37.19,30.84
1751585415,26.26,41.54,35.74
1751586015,17.12,45.05,29.88
1751586615,27.01,44.31,35.19
