2025-07-29 22:22:25,949 INFO    MainThread:150130 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_setup.py:_flush():80] Configure stats pid to 150130
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_setup.py:_flush():80] Loading settings from /home/melih/.config/wandb/settings
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_setup.py:_flush():80] Loading settings from /home/melih/Documents/Bites_CPU_Analizi/wandb/settings
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/melih/Documents/Bites_CPU_Analizi/wandb/run-20250729_222225-a2pb1lt9/logs/debug.log
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/melih/Documents/Bites_CPU_Analizi/wandb/run-20250729_222225-a2pb1lt9/logs/debug-internal.log
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_init.py:init():830] calling init triggers
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_init.py:init():835] wandb.init called with sweep_config: {'epochs': 15, 'hidden_layer_size': 50, 'learning_rate': 0.002904292493826535, 'optimizer': 'adam'}
config: {'_wandb': {}}
2025-07-29 22:22:25,950 INFO    MainThread:150130 [wandb_init.py:init():871] starting backend
2025-07-29 22:22:26,153 INFO    MainThread:150130 [wandb_init.py:init():874] sending inform_init request
2025-07-29 22:22:26,156 INFO    MainThread:150130 [wandb_init.py:init():882] backend started and connected
2025-07-29 22:22:26,156 INFO    MainThread:150130 [wandb_run.py:_config_callback():1363] config_cb None None {'epochs': 15, 'hidden_layer_size': 50, 'learning_rate': 0.002904292493826535, 'optimizer': 'adam'}
2025-07-29 22:22:26,157 INFO    MainThread:150130 [wandb_init.py:init():953] updated telemetry
2025-07-29 22:22:26,159 INFO    MainThread:150130 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-29 22:22:26,836 INFO    MainThread:150130 [wandb_init.py:init():1029] starting run threads in backend
2025-07-29 22:22:26,884 INFO    MainThread:150130 [wandb_run.py:_console_start():2458] atexit reg
2025-07-29 22:22:26,884 INFO    MainThread:150130 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-29 22:22:26,884 INFO    MainThread:150130 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-29 22:22:26,884 INFO    MainThread:150130 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-29 22:22:26,885 INFO    MainThread:150130 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-29 22:23:41,891 INFO    MsgRouterThr:150130 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
