Epoch 1/15 | Train Loss: 2.3269 | Train Acc: 0.0970 | Val Loss: 2.3164 | Val Acc: 0.1100 | LR: 0.000100
Epoch 2/15 | Train Loss: 2.2687 | Train Acc: 0.1680 | Val Loss: 2.3120 | Val Acc: 0.0850 | LR: 0.000099
Epoch 3/15 | Train Loss: 2.2285 | Train Acc: 0.1930 | Val Loss: 2.2901 | Val Acc: 0.1150 | LR: 0.000096
Epoch 4/15 | Train Loss: 2.1769 | Train Acc: 0.2270 | Val Loss: 2.3307 | Val Acc: 0.0900 | LR: 0.000090
Epoch 5/15 | Train Loss: 2.1280 | Train Acc: 0.2420 | Val Loss: 2.3418 | Val Acc: 0.1000 | LR: 0.000083
Epoch 6/15 | Train Loss: 2.0695 | Train Acc: 0.3210 | Val Loss: 2.3133 | Val Acc: 0.1000 | LR: 0.000075
Epoch 7/15 | Train Loss: 2.0030 | Train Acc: 0.3600 | Val Loss: 2.3011 | Val Acc: 0.1100 | LR: 0.000065
Epoch 8/15 | Train Loss: 1.9172 | Train Acc: 0.4350 | Val Loss: 2.3506 | Val Acc: 0.0950 | LR: 0.000055
Epoch 9/15 | Train Loss: 1.8554 | Train Acc: 0.4480 | Val Loss: 2.3532 | Val Acc: 0.1100 | LR: 0.000045
Epoch 10/15 | Train Loss: 1.7909 | Train Acc: 0.4600 | Val Loss: 2.3808 | Val Acc: 0.1200 | LR: 0.000035
Epoch 11/15 | Train Loss: 1.7398 | Train Acc: 0.5070 | Val Loss: 2.3938 | Val Acc: 0.1100 | LR: 0.000025
Epoch 12/15 | Train Loss: 1.6937 | Train Acc: 0.5150 | Val Loss: 2.4081 | Val Acc: 0.1100 | LR: 0.000017
Epoch 13/15 | Train Loss: 1.6737 | Train Acc: 0.5360 | Val Loss: 2.4146 | Val Acc: 0.1100 | LR: 0.000010
Epoch 14/15 | Train Loss: 1.6547 | Train Acc: 0.5310 | Val Loss: 2.4169 | Val Acc: 0.1100 | LR: 0.000004
Epoch 15/15 | Train Loss: 1.6496 | Train Acc: 0.5290 | Val Loss: 2.4177 | Val Acc: 0.1150 | LR: 0.000001
